title,year,decade,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings_source,ratings_value,metascore,imdbrating,imdbvotes,imdbid,dvd,boxoffice,production,website,response,tomatourl
Baahubali 2: The Conclusion,2017,2010,N/A,28 Apr 2017,167 min,"Action, Adventure, Drama",S.S. Rajamouli,"Vijayendra Prasad (story by), S.S. Rajamouli (screenplay), C.H. Vijay Kumar (telugu dialogue), Ajay Kumar (telugu dialogue), Madhan Karky (tamil dialogue), Manoj Muntashir (hindi dialogue), Mankombu Gopalakrishnan (malayalam dialogue)","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.","Tamil, Telugu, Hindi, Malayalam",India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BYmE1MTg0MDMtZmFlMC00ZGM3LTlkYWItNzEzOWRmODlhNDQ2XkEyXkFqcGdeQXVyNzMxMzYyOTI@._V1_SX300.jpg,Internet Movie Database,8.8/10,N/A,8.8,"42,582",tt4849438,N/A,"$18,977,072",Arka Media Works,http://baahubali.com/,True,https://www.rottentomatoes.com/m/baahubali_2_the_conclusion
RangiTaranga,2015,2010,NOT RATED,13 Aug 2015,149 min,"Adventure, Music, Mystery",Anup Bhandari,Anup Bhandari,"Nirup Bhandari, Radhika Chetan, Avantika Shetty, Sai Kumar","Mysterious events begin to unfold after a reclusive novelist and his wife move back to her ancestral village, followed by a journalist.",Kannada,India,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzNjAwNDEwMTNeQTJeQWpwZ15BbWU4MDk5MjMyMzYx._V1_SX300.jpg,Internet Movie Database,8.8/10,N/A,8.8,"9,869",tt4432480,N/A,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/rangitaranga/
Nayakan,1987,1980,NOT RATED,31 Jul 1987,145 min,"Crime, Drama",Mani Ratnam,"Balakumaran (dialogue), Rajasri (Telugu dialogue), Mani Ratnam","Kamal Haasan, Saranya Ponvannan, Delhi Ganesh, Janagaraj","A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.","Tamil, Hindi, English",India,4 wins.,https://m.media-amazon.com/images/M/MV5BZmFiYjJkNTEtZDdlMi00YTA5LTk1YTYtMDgxM2M2MTRmNGFhXkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_SX300.jpg,Internet Movie Database,8.8/10,N/A,8.8,"8,728",tt0093603,N/A,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/nayakan-hero/
Forrest Gump,1994,1990,PG-13,06 Jul 1994,142 min,"Comedy, Drama, Romance",Robert Zemeckis,"Winston Groom (novel), Eric Roth (screenplay)","Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys","While not intelligent, Forrest Gump has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.",English,USA,Won 6 Oscars. Another 39 wins & 66 nominations.,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,8.8/10,82,8.8,"1,365,937",tt0109830,28 Aug 2001,"$405,000",Paramount Pictures,http://www.paramount.com/movies/forrest-gump/,True,http://www.rottentomatoes.com/m/forrest_gump/
Star Wars: Episode V - The Empire Strikes Back,1980,1980,PG,20 Jun 1980,124 min,"Action, Adventure, Fantasy",Irvin Kershner,"Leigh Brackett (screenplay), Lawrence Kasdan (screenplay), George Lucas (story by)","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","After the rebels are overpowered by the Empire on their newly established base, Luke Skywalker begins Jedi training with Master Yoda. His friends accept shelter from a questionable ally as Darth Vader hunts them in a plan to capture Luke.",English,USA,Won 1 Oscar. Another 21 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.8/10,81,8.8,"910,608",tt0080684,21 Sep 2004,"$4,548,170",Twentieth Century Fox,http://www.starwars.com/episode-v/,True,http://www.rottentomatoes.com/m/empire_strikes_back/
Inception,2010,2010,PG-13,16 Jul 2010,148 min,"Action, Adventure, Sci-Fi",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.","English, Japanese, French","USA, UK",Won 4 Oscars. Another 150 wins & 203 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,Internet Movie Database,8.8/10,74,8.8,"1,592,306",tt1375666,07 Dec 2010,"$292,568,851",Warner Bros. Pictures,http://inceptionmovie.warnerbros.com/,True,http://www.rottentomatoes.com/m/inception/
The Lord of the Rings: The Fellowship of the Ring,2001,2000,PG-13,19 Dec 2001,178 min,"Adventure, Drama, Fantasy",Peter Jackson,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","Alan Howard, Noel Appleby, Sean Astin, Sala Baker",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.,"English, Sindarin","New Zealand, USA",Won 4 Oscars. Another 113 wins & 124 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,Internet Movie Database,8.8/10,92,8.8,"1,326,876",tt0120737,06 Aug 2002,"$314,000,000",New Line Cinema,http://www.lordoftherings.net/film/trilogy/thefellowship.html,True,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/
Fight Club,1999,1990,R,15 Oct 1999,139 min,Drama,David Fincher,"Chuck Palahniuk (novel), Jim Uhls (screenplay)","Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier","An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more.",English,"USA, Germany",Nominated for 1 Oscar. Another 10 wins & 31 nominations.,https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.8/10,66,8.8,"1,458,676",tt0137523,06 Jun 2000,N/A,20th Century Fox,http://www.foxmovies.com/fightclub/,True,http://www.rottentomatoes.com/m/fight_club/
One Flew Over the Cuckoo's Nest,1975,1970,R,19 Nov 1975,133 min,Drama,Milos Forman,"Lawrence Hauben (screenplay), Bo Goldman (screenplay), Ken Kesey (based on the novel by), Dale Wasserman (the play version: """"One Flew Over the Cuckoo's Nest"""" by)","Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown",A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,English,USA,Won 5 Oscars. Another 30 wins & 13 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,8.7/10,80,8.7,"729,653",tt0073486,09 Dec 1997,N/A,United Artists,N/A,True,http://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest/
City of God,2002,2000,R,13 Feb 2004,130 min,"Crime, Drama","Fernando Meirelles, Kátia Lund","Paulo Lins (novel), Bráulio Mantovani (screenplay)","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva","Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.",Portuguese,"Brazil, France",Nominated for 4 Oscars. Another 65 wins & 38 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDJiNTEwMjMtOGQ1ZC00OTczLWFjZjctZWQ0MGJjZmFkMjcwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.7/10,79,8.7,"571,582",tt0317248,08 Jun 2004,N/A,Miramax Films,http://www.miramax.com/movie/city-of-god,True,http://www.rottentomatoes.com/m/city_of_god/
Goodfellas,1990,1990,R,21 Sep 1990,146 min,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi (book), Nicholas Pileggi (screenplay), Martin Scorsese (screenplay)","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","The story of Henry Hill and his life through the teen years into the years of mafia, covering his relationship with wife Karen Hill and his Mob partners Jimmy Conway and Tommy DeVitto in the Italian-American crime syndicate.","English, Italian",USA,Won 1 Oscar. Another 37 wins & 35 nominations.,https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.7/10,89,8.7,"787,997",tt0099685,26 Mar 1997,N/A,Warner Bros.,N/A,True,http://www.rottentomatoes.com/m/1032176-goodfellas/
Butterfly Girl,2014,2010,N/A,10 Mar 2014,78 min,Documentary,Cary Bell,N/A,"Abigail Evans, John Evans, Stacie Evans, Mark A. Gilger","At first glance, it is not obvious that Abigail Evans lives with a life-threatening skin disease. She is a typical teenager: moody, rebellious, irreverent, and is also strikingly beautiful....",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1NjY3NTg1MV5BMl5BanBnXkFtZTgwNTcxNDUwNDE@._V1_SX300.jpg,Internet Movie Database,8.7/10,85,8.7,27,tt2421956,21 Apr 2015,N/A,Indican Pictures,https://www.facebook.com/butterflygirlmovie,True,http://www.rottentomatoes.com/m/butterfly_girl_2015/
The Lord of the Rings: The Two Towers,2002,2000,PG-13,18 Dec 2002,179 min,"Adventure, Drama, Fantasy",Peter Jackson,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)","Bruce Allpress, Sean Astin, John Bach, Sala Baker","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","English, Sindarin, Old English","USA, New Zealand",Won 2 Oscars. Another 118 wins & 138 nominations.,https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.7/10,88,8.7,"1,188,300",tt0167261,26 Aug 2003,"$339,700,000",New Line Cinema,http://www.lordoftherings.net/,True,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers/
The Matrix,1999,1990,R,31 Mar 1999,136 min,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,English,USA,Won 4 Oscars. Another 34 wins & 45 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.7/10,73,8.7,"1,314,628",tt0133093,21 Sep 1999,N/A,Warner Bros. Pictures,http://www.whatisthematrix.com,True,http://www.rottentomatoes.com/m/matrix/
Gol Maal,1979,1970,NOT RATED,20 Apr 1979,144 min,"Comedy, Romance",Hrishikesh Mukherjee,"Sailesh Dey (story), Sachin Bhowmick (screenplay), Rahi Masoom Reza (dialogue)","Amol Palekar, Bindiya Goswami, Deven Verma, Shubha Khote","Ramprasad is a recent college graduate who finds a job with a finicky man, Bhavani Shankar, who believes that a man without a mustache is a man without a character. Bhavani Shankar is also ...",Hindi,India,3 wins.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4OTczODgxNF5BMl5BanBnXkFtZTgwMDAzMTU2NDE@._V1_SX300.jpg,Internet Movie Database,8.7/10,N/A,8.7,"12,021",tt0079221,28 Sep 1999,N/A,Rupam Chitra,N/A,True,http://www.rottentomatoes.com/m/gol-maal-hanky-panky/
Dangal,2016,2010,UNRATED,21 Dec 2016,161 min,"Action, Biography, Drama",Nitesh Tiwari,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra, Nitesh Tiwari","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Hindi,India,3 wins.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_SX300.jpg,Internet Movie Database,8.7/10,N/A,8.7,"55,286",tt5074352,N/A,"$12,382,287",Aamir Khan Productions,N/A,True,http://www.rottentomatoes.com/m/dangal/
Seven Samurai,1954,1950,UNRATED,19 Nov 1956,207 min,"Adventure, Drama",Akira Kurosawa,"Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)","Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Japanese,Japan,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Internet Movie Database,8.7/10,98,8.7,"246,807",tt0047478,01 Mar 1999,N/A,Columbia Pictures,N/A,True,http://www.rottentomatoes.com/m/1018639-seven_samurai/
Star Wars: Episode IV - A New Hope,1977,1970,PG,25 May 1977,121 min,"Action, Adventure, Fantasy",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.",English,USA,Won 6 Oscars. Another 50 wins & 28 nominations.,https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Internet Movie Database,8.7/10,92,8.7,"982,688",tt0076759,21 Sep 2004,N/A,20th Century Fox,http://www.starwars.com/episode-iv/,True,http://www.rottentomatoes.com/m/star_wars/
Thalapathi,1991,1990,NOT RATED,25 Nov 1991,157 min,"Crime, Drama",Mani Ratnam,"Mani Ratnam (screenplay), Mani Ratnam (story), Umesh Sharma (dialogue)","Rajinikanth, Mammootty, Shobana, Arvind Swamy",Surya (Rajnikanth) is an orphan raised in a slum. He finds a friend in the local Godfather (Mamooty). They rule the town and forms a parallel government. Things are well until new district ...,Tamil,India,3 wins.,https://images-na.ssl-images-amazon.com/images/M/MV5BZGE5NzVjNTEtMGUwYi00YzU0LWIyYTctNDc0ZjMxNGNhYzg5XkEyXkFqcGdeQXVyMjMwODI3NDE@._V1_SX300.jpg,Internet Movie Database,8.6/10,N/A,8.6,"5,050",tt0101649,N/A,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/thalapathi/
My Father and My Son,2005,2000,N/A,18 Nov 2005,108 min,Drama,Çagan Irmak,Çagan Irmak,"Resit Kurt, Fikret Kuskan, Çetin Tekindor, Furkan Turan",The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,Turkish,Turkey,11 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjAzMzEwYzctNjc1MC00Nzg5LWFmMGItMTgzYmMyNTY2OTQ4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Internet Movie Database,8.6/10,N/A,8.6,"47,483",tt0476735,N/A,N/A,Avsar Yapim,N/A,True,http://www.rottentomatoes.com/m/babam-ve-oglum-my-father-and-my-son/
Thani Oruvan,2015,2010,NOT RATED,28 Aug 2015,160 min,"Action, Crime, Thriller",M. Raja,"A.N. Balakrishnan, M. Raja, M. Raja, D. Suresh, D. Suresh","Jeyam Ravi, Arvind Swamy, Nayanthara, Nassar","A police officer makes it his mission to destroy the most corrupt person in the country, Siddharth Abimanyu.",Tamil,India,4 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMzgwZjcyZjItN2Q5Mi00NTM3LTg0YmMtMmQ2NmVmY2Y4MzY0XkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_SX300.jpg,Internet Movie Database,8.6/10,N/A,8.6,"9,031",tt4987556,N/A,N/A,N/A,N/A,True,N/A
Léon: The Professional,1994,1990,R,18 Nov 1994,110 min,"Crime, Drama, Thriller",Luc Besson,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.","English, Italian, French",France,5 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,Internet Movie Database,8.6/10,64,8.6,"787,281",tt0110413,15 Aug 2000,N/A,Columbia Pictures,N/A,True,http://www.rottentomatoes.com/m/leon_the_professional/
